0 0.000000 0.000000 0.000000	0 11.289029598236084 15.9371976852417 11.368412017822266 10.758212089538574 10.871750831604004 12.157743453979492 14.900016784667969 16.97437858581543
2500 -0.004739 5.913482 -5.918221	1 11.71267318725586 16.524683475494385 12.009697914123535 11.50947093963623 10.746925354003906 12.584598541259766 15.213881492614746 17.835485458374023
5000 0.012622 3.478606 -3.465985	2 11.53181529045105 16.258771896362305 11.855926513671875 11.152329444885254 10.887065887451172 12.231939315795898 14.858980178833008 17.6585636138916
7500 0.018565 6.359335 -6.340769	3 11.830018281936646 16.652313232421875 11.604438781738281 11.640368461608887 11.465276718139648 12.609989166259766 15.233663558959961 18.07096290588379
10000 0.031919 3.775595 -3.743676	4 11.531477689743042 16.25184917449951 11.45387077331543 11.393211364746094 10.870298385620117 12.408530235290527 15.009260177612305 17.49443817138672
12500 0.039467 3.188124 -3.148657	5 11.781239748001099 16.58835792541504 11.540212631225586 11.798517227172852 11.380632400512695 12.405596733093262 15.079696655273438 18.09701919555664
15000 0.055638 4.769249 -4.713611	6 11.98866057395935 16.898641109466553 11.704289436340332 12.236923217773438 11.480155944824219 12.533273696899414 15.74874210357666 18.048540115356445
17500 0.094425 2.176333 -2.081907	7 11.845101594924927 16.708478450775146 11.90432357788086 11.745692253112793 11.034818649291992 12.695571899414063 15.46047306060791 17.956483840942383
20000 0.154603 3.275953 -3.121350	8 11.700175762176514 16.51233959197998 11.936403274536133 11.280789375305176 11.245662689208984 12.337847709655762 15.309471130371094 17.715208053588867
22500 0.188326 4.279989 -4.091662	9 11.709251880645752 16.528532028198242 11.586172103881836 11.368766784667969 11.333250045776367 12.548818588256836 15.59427261352539 17.462791442871094
25000 0.213076 3.897731 -3.684655	10 11.725770711898804 16.560996055603027 11.855830192565918 11.407892227172852 11.037837982177734 12.601522445678711 15.522649765014648 17.599342346191406
27500 0.228859 4.953136 -4.724278	11 11.983914852142334 16.936216354370117 12.153199195861816 11.848601341247559 11.3422212600708 12.59163761138916 16.166728973388672 17.705703735351563
30000 0.247791 5.085106 -4.837315	12 11.837616205215454 16.6792254447937 12.044293403625488 11.795002937316895 11.30189323425293 12.209275245666504 15.227707862854004 18.1307430267334
32500 0.283490 7.563681 -7.280192	13 11.7757887840271 16.64328145980835 11.999896049499512 11.345083236694336 11.130839347839355 12.627336502075195 15.745797157287598 17.5407657623291
35000 0.289028 6.636444 -6.347416	14 11.70930790901184 16.482029914855957 11.641600608825684 11.688867568969727 11.326847076416016 12.179916381835938 14.93353271484375 18.030527114868164
37500 0.322839 4.056273 -3.733434	15 11.539141654968262 16.2722225189209 11.372753143310547 11.630894660949707 10.960824966430664 12.192093849182129 15.226797103881836 17.31764793395996
40000 0.333797 5.257066 -4.923269	16 11.789040327072144 16.639986038208008 11.755290985107422 11.839685440063477 11.310369491577148 12.250815391540527 15.646932601928711 17.633039474487305
42500 0.341704 3.862718 -3.521014	17 11.720057010650635 16.556443214416504 11.559468269348145 11.612215042114258 11.538536071777344 12.170008659362793 15.994136810302734 17.118749618530273
45000 0.353263 4.674306 -4.321043	18 12.004281282424927 16.949420928955078 11.850242614746094 11.952837944030762 11.667213439941406 12.546831130981445 16.165668487548828 17.733173370361328
47500 0.370795 5.284019 -4.913224	19 11.690640211105347 16.50952959060669 12.005033493041992 11.588001251220703 10.876418113708496 12.293107986450195 15.527497291564941 17.491561889648438
